trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,beta,bmse_weight,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
10,2025-07-28 18:58:48,,150,100,0.05,0.05,256,8,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21026520431041718,2.3230085372924805,0.015735158696770668,6.757689698133618e-05,0.06710261106491089,0.1895003765821457
11,2025-07-28 19:01:28,,150,100,0.005,0.005,128,4,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20620739459991455,1.4679275751113892,0.0019873357377946377,1.4957693565520458e-05,0.03190296143293381,0.12907885015010834
12,2025-07-28 19:02:45,,150,100,0.05,0.005,256,8,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2094133496284485,2.0695152282714844,0.0073905871249735355,3.837082113022916e-05,0.058210235089063644,0.17700275778770447
13,2025-07-28 19:04:44,,150,100,0.005,0.05,256,4,0.05,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.195009246468544,0.935096263885498,0.006991469766944647,1.3831421711074654e-05,0.04448848217725754,0.15125146508216858
14,2025-07-28 19:06:38,,150,100,0.05,0.1,128,4,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19261710345745087,1.1717102527618408,0.00970719289034605,9.252421477867756e-06,0.0356893464922905,0.13910405337810516
15,2025-07-28 19:08:59,,150,100,0.005,0.005,256,8,0.1,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19847077131271362,1.1314195394515991,0.0030079276766628027,2.9350778277148493e-05,0.08022329211235046,0.2066504955291748
16,2025-07-28 19:11:09,,150,100,0.05,0.001,128,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20501470565795898,1.846421480178833,0.0014551146887242794,2.1658588593709283e-05,0.03886920213699341,0.14419496059417725
17,2025-07-28 19:14:37,,150,100,0.005,0.005,128,4,0.01,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19559413194656372,0.8815094828605652,0.007228349335491657,1.599586903466843e-05,0.047868672758340836,0.15541084110736847
18,2025-07-28 19:19:37,,150,100,0.001,0.1,128,4,0.01,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19750186800956726,0.9304429888725281,0.007386302575469017,1.4831951375526842e-05,0.041562795639038086,0.14716269075870514
19,2025-07-28 19:22:19,,150,100,0.01,0.05,128,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20195867121219635,1.0957735776901245,0.002264675684273243,2.4590155589976348e-05,0.0459076464176178,0.1515415906906128
20,2025-07-28 19:24:21,,150,100,0.1,0.01,128,4,0.2,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21311482787132263,2.9904141426086426,0.008082374930381775,4.233612708048895e-05,0.06660304218530655,0.1897629350423813
21,2025-07-28 19:25:54,,150,100,0.05,0.001,256,8,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20001859962940216,1.4350330829620361,0.004069952759891748,3.189935159753077e-05,0.07103007286787033,0.19468839466571808
22,2025-07-28 19:28:19,,150,100,0.05,0.001,128,8,0.1,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21616049110889435,5.947726249694824,0.042803604155778885,0.0001505493128206581,0.0585457943379879,0.17803658545017242
23,2025-07-28 19:30:35,,150,100,0.05,0.001,128,4,0.01,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19765451550483704,1.2166364192962646,0.004753334913402796,1.2953578334418125e-05,0.03856431320309639,0.1439417600631714
24,2025-07-28 19:32:11,,150,100,0.05,0.001,256,4,0.05,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20817430317401886,1.8358500003814697,0.005488418508321047,2.0997274987166747e-05,0.03362007811665535,0.13472814857959747
25,2025-07-28 19:37:29,,150,100,0.005,0.005,128,8,0.1,8,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.206589013338089,1.5026673078536987,0.009638393297791481,4.5251821575220674e-05,0.08489657193422318,0.21250618994235992
26,2025-07-28 19:39:21,,150,100,0.05,0.001,256,16,0.01,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20846587419509888,2.7881689071655273,0.022456038743257523,0.00012754496128764004,0.14243488013744354,0.28656551241874695
27,2025-07-28 19:43:46,,150,100,0.05,0.001,128,32,0.2,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.2621002793312073,13311122432.0,2527.026611328125,216343.1875,0.17351306974887848,0.3228868246078491
28,2025-07-28 19:47:27,,150,100,0.005,0.005,128,4,0.05,1,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19944866001605988,1.018070101737976,0.00649121031165123,1.7261896573472768e-05,0.046046074479818344,0.15359443426132202
29,2025-07-28 19:49:36,,150,100,0.005,0.005,256,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1987346112728119,1.1047872304916382,0.00029955434729345143,1.1156005712109618e-05,0.03290824219584465,0.13199077546596527
30,2025-07-28 19:53:24,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1956551969051361,1.0694726705551147,4.5497246901504695e-05,1.0486992323421873e-05,0.03339437022805214,0.13240528106689453
31,2025-07-28 19:56:49,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19749072194099426,1.0615053176879883,0.0007669450133107603,9.948436854756437e-06,0.03136426582932472,0.12904766201972961
32,2025-07-28 20:00:07,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20135299861431122,1.291507363319397,0.000509871169924736,1.3408088307187427e-05,0.03219437226653099,0.12998077273368835
33,2025-07-28 20:03:22,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18619433045387268,0.8264603018760681,0.0025792522355914116,6.80646598993917e-06,0.03308738395571709,0.13198205828666687
34,2025-07-28 20:06:25,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20068973302841187,1.2017887830734253,0.0006489004590548575,1.2091580174455885e-05,0.03206754848361015,0.13024531304836273
35,2025-07-28 20:11:05,,150,100,0.005,0.005,64,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19941404461860657,1.1391271352767944,0.0008674366981722414,1.0531278348935302e-05,0.03127187117934227,0.12928608059883118
36,2025-07-28 20:14:16,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19639022648334503,1.0904332399368286,0.0010966149857267737,1.0325319635740016e-05,0.03258724883198738,0.13083525002002716
37,2025-07-28 20:22:11,,150,100,0.005,0.005,128,32,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20707663893699646,1.9464735984802246,0.031227685511112213,9.55310752033256e-05,0.1828763484954834,0.33324509859085083
38,2025-07-28 20:25:20,,150,100,0.1,0.01,64,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.26484254002571106,11958582272.0,1108.2408447265625,115865.5234375,0.0974174439907074,0.23094530403614044
39,2025-07-28 20:28:15,,150,100,0.005,0.005,256,16,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18928377330303192,0.9371512532234192,0.0016890737460926175,3.1972725992091e-05,0.13960911333560944,0.2859398424625397
40,2025-07-28 20:32:25,,150,100,0.01,0.005,64,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20765189826488495,1.5261393785476685,0.0014758848119527102,1.5582591004204005e-05,0.031215621158480644,0.1287955790758133
41,2025-07-28 20:35:38,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19501188397407532,1.0269359350204468,0.000516346306540072,9.0765906861634e-06,0.03166472911834717,0.12904533743858337
42,2025-07-28 20:38:50,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1963312327861786,1.0367803573608398,0.00102942471858114,9.736205356603023e-06,0.03239339962601662,0.13049788773059845
43,2025-07-28 20:41:58,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20721065998077393,1.516933560371399,0.002182401018217206,1.578847150085494e-05,0.03166840970516205,0.12879957258701324
44,2025-07-28 20:45:20,,150,100,0.005,0.005,128,4,0.1,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19193841516971588,0.9344089031219482,0.0021071534138172865,7.93644449004205e-06,0.03140482306480408,0.1290021389722824
45,2025-07-28 20:54:39,,150,100,0.001,0.005,128,32,0.2,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19750669598579407,1.2757803201675415,0.01560753583908081,4.442306817509234e-05,0.13844020664691925,0.2861235737800598
46,2025-07-28 20:57:36,,150,100,0.005,0.01,256,16,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20694684982299805,1.6198331117630005,0.01560710184276104,6.65388215566054e-05,0.13708174228668213,0.28326278924942017
47,2025-07-28 21:00:37,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19919559359550476,1.1400052309036255,0.0006701108650304377,1.0692102478060406e-05,0.030893810093402863,0.12825950980186462
48,2025-07-28 21:02:26,,150,100,0.1,0.05,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.21423226594924927,4.556823253631592,0.024813489988446236,9.330431930720806e-05,0.0677989050745964,0.1912040263414383
49,2025-07-28 21:07:38,,150,100,0.005,0.005,64,4,0.1,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1902267038822174,0.9367800354957581,0.0011443570256233215,8.550056918465998e-06,0.032840266823768616,0.13164639472961426
50,2025-07-28 21:09:46,,150,100,0.005,0.005,256,4,0.1,10,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20007216930389404,1.186484456062317,0.0010298186680302024,1.1273507880105171e-05,0.03160148113965988,0.1297946274280548
51,2025-07-28 21:13:24,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19038349390029907,0.8912871479988098,0.002296785358339548,7.89657042332692e-06,0.03293420746922493,0.13157784938812256
52,2025-07-28 21:17:10,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19901643693447113,1.1092661619186401,0.0020423592068254948,1.3164986739866436e-05,0.033435430377721786,0.131736159324646
53,2025-07-28 21:20:52,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1924932301044464,0.9424763321876526,0.0019887234084308147,8.579489076510072e-06,0.03256727382540703,0.1307908445596695
54,2025-07-28 21:23:55,,150,100,0.01,0.1,128,4,0.1,6,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.18817287683486938,0.9033710956573486,0.003114901250228286,6.7774253693642095e-06,0.031237991526722908,0.12793807685375214
55,2025-07-28 21:28:24,,150,100,0.001,0.005,128,4,0.2,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19485561549663544,1.0004953145980835,0.0015027623157948256,7.319532414840069e-06,0.027317875996232033,0.12124040722846985
56,2025-07-28 21:31:43,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.196846604347229,1.1132513284683228,0.0005297758034430444,9.580053301760927e-06,0.03150220960378647,0.12883548438549042
57,2025-07-28 21:36:42,,150,100,0.005,0.05,256,32,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.19692811369895935,1.365562915802002,0.012757028453052044,6.166371167637408e-05,0.1907324641942978,0.3412841260433197
58,2025-07-28 21:41:46,,150,100,0.005,0.005,128,16,0.1,2,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.1882028579711914,0.9027904868125916,0.0012792409397661686,3.485326305963099e-05,0.14875535666942596,0.2955976128578186
59,2025-07-28 21:45:25,,150,100,0.005,0.01,128,4,0.1,4,False,0.2,0.2,2024,,1.0,1.0,10.0,10,0.20358532667160034,1.3154557943344116,1.6401996617787518e-05,1.3404429410002194e-05,0.03315424174070358,0.1324031949043274
