trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,ece_weight,n_bins,beta,bmse_weight,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
22,2025-07-29 15:22:55,,150,100,0.05,0.05,128,4,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.23189088702201843,21.193641662597656,0.0301447082310915,7.71709528635256e-05,0.04646627604961395,0.15913531184196472
23,2025-07-29 15:35:30,,150,100,0.05,0.05,128,4,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.2283092737197876,10.676307678222656,0.038871873170137405,2.8609010769287124e-05,0.047058481723070145,0.15957902371883392
24,2025-07-29 15:47:46,,150,100,0.05,0.05,128,4,0.05,8,False,0.2,0.2,2024,,10,10,1.0,1.0,0.22616702318191528,9.701682090759277,0.04113369062542915,2.33314585784683e-05,0.04472915455698967,0.15576985478401184
25,2025-07-29 16:02:28,,150,100,0.001,0.05,128,16,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.2273007333278656,13.90725326538086,0.030257675796747208,9.330097236670554e-05,0.11782270669937134,0.26277849078178406
26,2025-07-29 16:11:06,,150,100,0.05,0.05,256,4,0.01,6,False,0.2,0.2,2024,,10,15,1.0,1.0,0.22503280639648438,9.992862701416016,0.02443329244852066,4.348320726421662e-05,0.06021615490317345,0.17885158956050873
27,2025-07-29 16:18:14,,150,100,0.01,0.01,256,8,0.2,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.22724656760692596,11.937156677246094,0.019778907299041748,0.00010953260789392516,0.10911491513252258,0.2467973828315735
28,2025-07-29 16:36:17,,150,100,0.05,0.05,64,16,0.1,6,False,0.2,0.2,2024,,20,10,1.0,1.0,0.216234490275383,10104730624.0,555.5752563476562,54352.3046875,0.08911222219467163,0.22297921776771545
29,2025-07-29 17:11:16,,150,100,0.01,0.05,64,16,0.1,2,False,0.2,0.2,2024,,20,15,1.0,1.0,0.25595369935035706,14082850816.0,1241.1571044921875,129296.1484375,0.19543032348155975,0.34628239274024963
30,2025-07-29 17:40:23,,150,100,0.1,0.05,64,16,0.1,8,False,0.2,0.2,2024,,20,10,1.0,1.0,0.2578606605529785,18585903104.0,3904.650146484375,120889.5625,0.21336500346660614,0.3653870224952698
31,2025-07-29 18:21:30,,150,100,0.05,0.05,64,16,0.1,6,False,0.2,0.2,2024,,20,10,1.0,1.0,0.23139722645282745,10830018560.0,250.50625610351562,55104.73828125,0.08688978850841522,0.22011126577854156
32,2025-07-29 18:39:08,,150,100,0.05,0.05,128,4,0.1,6,False,0.2,0.2,2024,,20,10,1.0,1.0,0.22472968697547913,9.125940322875977,0.040936339646577835,2.0702898837043904e-05,0.042803891003131866,0.15407364070415497
33,2025-07-29 19:01:48,,150,100,0.05,0.05,64,16,0.1,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.25868022441864014,13108460544.0,130.7220001220703,56455.46875,0.08646268397569656,0.21944935619831085
34,2025-07-29 19:20:27,,150,100,0.001,0.005,128,4,0.1,6,False,0.2,0.2,2024,,50,10,1.0,1.0,0.23726427555084229,200895904.0,273.6940002441406,4893.67236328125,0.0372469499707222,0.14502473175525665
35,2025-07-29 19:53:10,,150,100,0.05,0.05,64,16,0.01,1,False,0.2,0.2,2024,,10,10,1.0,1.0,0.2554650902748108,14070154240.0,814.8576049804688,121134.9921875,0.19005843997001648,0.33853381872177124
36,2025-07-29 20:20:37,,150,100,0.005,0.1,128,32,0.2,2,False,0.2,0.2,2024,,1,20,1.0,1.0,0.22561268508434296,13068149760.0,2928.352783203125,143528.125,0.2454543560743332,0.39864403009414673
37,2025-07-29 20:33:11,,150,100,0.05,0.01,256,8,0.05,6,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22079800069332123,6.8771257400512695,0.016600554808974266,6.900812149979174e-05,0.10863983631134033,0.24622602760791779
38,2025-07-29 20:44:54,,150,100,0.1,0.01,256,8,0.1,6,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22373317182064056,7.640383720397949,0.02710767090320587,3.503395782900043e-05,0.060815781354904175,0.18492627143859863
39,2025-07-29 20:57:56,,150,100,0.001,0.01,256,8,0.1,4,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22240540385246277,7.067162036895752,0.01851983554661274,3.590445703594014e-05,0.061104074120521545,0.1857631951570511
40,2025-07-29 21:10:25,,150,100,0.01,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22227931022644043,7.416538238525391,0.02459176629781723,9.121968469116837e-05,0.1484505534172058,0.28990328311920166
41,2025-07-29 21:22:22,,150,100,0.01,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22282102704048157,7.888253688812256,0.02384953945875168,0.00010512123117223382,0.15768885612487793,0.29962459206581116
42,2025-07-29 21:34:25,,150,100,0.01,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22211013734340668,7.331927299499512,0.026895884424448013,9.662634693086147e-05,0.14801128208637238,0.28887349367141724
43,2025-07-29 21:45:44,,150,100,0.01,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22375184297561646,7.755706310272217,0.022351594641804695,9.872887312667444e-05,0.1522715538740158,0.2939319312572479
44,2025-07-29 21:56:07,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.2218351662158966,7.541151523590088,0.021571995690464973,9.995601431000978e-05,0.1510257124900818,0.29299405217170715
45,2025-07-29 22:05:51,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22220201790332794,7.194314479827881,0.02249680832028389,9.021200821734965e-05,0.1421387642621994,0.282780259847641
46,2025-07-29 22:15:17,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22159552574157715,7.308757781982422,0.026982543990015984,9.956265421351418e-05,0.14978787302970886,0.2911807894706726
47,2025-07-29 22:24:53,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22023265063762665,6.679808139801025,0.023985110223293304,8.091598283499479e-05,0.14573484659194946,0.2866714298725128
48,2025-07-29 22:51:25,,150,100,0.005,0.01,64,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.2582222819328308,12701746176.0,773.0016479492188,90713.8671875,0.14568188786506653,0.2898372709751129
49,2025-07-29 23:01:14,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22395862638950348,7.998445987701416,0.023516854271292686,9.77156450971961e-05,0.1485331654548645,0.28931471705436707
50,2025-07-29 23:10:36,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22277353703975677,7.04386043548584,0.022627875208854675,8.022494876058772e-05,0.1368063986301422,0.2780037522315979
51,2025-07-29 23:19:54,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22194993495941162,7.013698577880859,0.02745412103831768,9.053492249222472e-05,0.14608801901340485,0.28762614727020264
52,2025-07-29 23:31:39,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.22396188974380493,7.549676895141602,0.027498356997966766,9.589760156814009e-05,0.14409491419792175,0.28561684489250183
53,2025-07-29 23:41:53,,150,100,0.005,0.01,256,8,0.01,8,False,0.2,0.2,2024,,50,15,1.0,1.0,0.21971864998340607,6.927787780761719,0.024283332750201225,9.068877261597663e-05,0.14731553196907043,0.28832152485847473
54,2025-07-29 23:53:36,,150,100,0.005,0.005,256,8,0.01,4,False,0.2,0.2,2024,,50,20,1.0,1.0,0.23535151779651642,414480768.0,816.2288208007812,21787.80078125,0.12079734355211258,0.26066574454307556
55,2025-07-30 00:01:20,,150,100,0.005,0.1,256,32,0.01,10,False,0.2,0.2,2024,,50,15,1.0,1.0,0.20944121479988098,11207616512.0,2884.69189453125,150558.828125,0.26166996359825134,0.41474032402038574
56,2025-07-30 00:09:35,,150,100,0.005,0.1,256,32,0.01,10,False,0.2,0.2,2024,,1,15,1.0,1.0,0.253353089094162,16967979008.0,3396.4013671875,155698.984375,0.2626701593399048,0.41496819257736206
57,2025-07-30 00:30:36,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.2184726595878601,12005044224.0,2936.5244140625,143441.421875,0.24703910946846008,0.4002823531627655
58,2025-07-30 00:51:47,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.1968003511428833,9080740864.0,2782.46923828125,135815.140625,0.24141190946102142,0.39385128021240234
59,2025-07-30 01:18:03,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.2511937916278839,15383367680.0,2749.87255859375,143973.140625,0.23757147789001465,0.3902522623538971
60,2025-07-30 01:38:40,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.20168647170066833,10166165504.0,2918.8681640625,140617.90625,0.24745504558086395,0.4000401496887207
61,2025-07-30 01:59:35,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.20720306038856506,10736216064.0,2811.295166015625,139210.1875,0.24241818487644196,0.39548149704933167
62,2025-07-30 02:25:08,,150,100,0.005,0.1,64,32,0.05,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.2431238889694214,15206876160.0,3007.221435546875,146279.65625,0.24528829753398895,0.3986392617225647
