trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,bmse_weight,beta,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
46,2025-07-28 19:26:27,,150,100,0.005,0.05,128,32,0.1,10,False,0.2,0.2,2024,,20,1.0,10.0,10,0.26484254002571106,13912042496.0,3755.561767578125,168159.71875,0.13677723705768585,0.28232240676879883
47,2025-07-28 19:28:04,,150,100,0.1,0.001,128,4,0.05,8,False,0.2,0.2,2024,,5,1.0,10.0,10,0.19560503959655762,0.788023829460144,0.00891775544732809,1.5611081835231744e-05,0.05362007021903992,0.17261068522930145
48,2025-07-28 19:31:29,,150,100,0.005,0.005,128,4,0.01,2,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.19704791903495789,0.858863115310669,0.009764534421265125,1.3895685697207227e-05,0.039170000702142715,0.14267967641353607
49,2025-07-28 19:32:14,,150,100,0.1,0.001,256,8,0.2,2,False,0.2,0.2,2024,,15,1.0,10.0,10,0.19673846662044525,0.3136255741119385,0.03536981716752052,2.1888010451220907e-05,0.07920687645673752,0.21313954889774323
50,2025-07-28 19:35:39,,150,100,0.01,0.005,128,16,0.1,6,False,0.2,0.2,2024,,20,1.0,10.0,10,0.20881158113479614,1.8982471227645874,0.05150289461016655,8.868151780916378e-05,0.1441192626953125,0.2875692844390869
51,2025-07-28 19:37:57,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19695919752120972,0.09245363622903824,0.056486085057258606,1.8155169527744874e-05,0.07506659626960754,0.20714032649993896
52,2025-07-28 19:40:32,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19764521718025208,0.0956607386469841,0.05769247189164162,1.923713534779381e-05,0.07618477195501328,0.20903101563453674
53,2025-07-28 19:43:00,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.196284219622612,0.08393590152263641,0.0547068752348423,1.8277549315826036e-05,0.07642636448144913,0.20976155996322632
54,2025-07-28 19:45:27,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19606998562812805,0.08498929440975189,0.053375449031591415,1.7912945622811094e-05,0.07554999738931656,0.20814867317676544
55,2025-07-28 19:46:55,,150,100,0.05,0.001,128,4,0.1,2,False,0.2,0.2,2024,,1,1.0,10.0,10,0.19742801785469055,0.6145016551017761,0.023146355524659157,7.997949978744145e-06,0.02989504672586918,0.1306176483631134
56,2025-07-28 19:48:59,,150,100,0.005,0.01,128,4,0.1,10,False,0.2,0.2,2024,,20,1.0,10.0,10,0.2092762589454651,1.6907970905303955,0.01652120053768158,1.772486029949505e-05,0.030321164056658745,0.12881290912628174
57,2025-07-28 19:52:28,,150,100,0.1,0.001,128,32,0.1,1,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19900335371494293,0.507690966129303,0.027237972244620323,5.201130989007652e-05,0.16346395015716553,0.3130844831466675
58,2025-07-28 19:59:38,,150,100,0.001,0.05,64,4,0.05,4,False,0.2,0.2,2024,,10,1.0,10.0,10,0.21609333157539368,0.6181289553642273,0.21560221910476685,7.147185533540323e-05,0.058115869760513306,0.1820336878299713
59,2025-07-28 20:01:40,,150,100,0.005,0.005,256,4,0.2,2,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.19584529101848602,0.9712932705879211,0.004178785253316164,8.203994184441399e-06,0.028467567637562752,0.1240781769156456
